after_2024_09_01,Сокращение расстояния,value
0,0.0,244321.07317073172
0,14.0,282456.2
0,104.0,266912.1724137931
0,117.0,244206.28846153847
0,134.0,276712.9736842105
0,239.0,282519.7843137255
0,280.0,229961.40476190476
0,291.0,266974.85454545455
0,355.0,298864.91489361704
0,357.0,271215.7804878049
0,388.0,258929.0
0,424.0,254572.7619047619
0,470.0,265944.1875
0,477.0,333225.3035714286
0,478.0,233777.11111111112
0,482.0,300872.07843137253
0,531.0,232159.56363636363
0,550.0,292687.1785714286
0,589.0,250485.84905660377
0,639.0,282316.28846153844
0,657.0,224451.46
0,701.0,278291.2
0,776.0,257700.7741935484
0,813.0,240741.78260869565
0,820.0,227021.92105263157
0,827.0,308628.88
0,838.0,281070.2625
0,877.0,324088.5
0,978.0,234957.65454545454
0,987.0,290035.48214285716
0,1006.0,255896.34285714285
0,1213.0,270208.27659574465
0,1228.0,239447.0487804878
0,1254.0,299322.5
0,1280.0,263684.02702702704
0,1348.0,313347.2826086957
0,1382.0,290164.9166666667
0,1451.0,306444.91891891893
0,1489.0,285071.1842105263
0,1500.0,345608.4285714286
0,1501.0,282937.9791666667
0,1551.0,205849.0
0,1554.0,329425.32727272727
0,1566.0,269232.0
0,1573.0,242223.27777777778
0,1574.0,238196.75
0,1585.0,266512.85714285716
0,1588.0,263991.6976744186
0,1693.0,289880.8918918919
0,1695.0,272787.775
0,1704.0,293559.9555555555
0,1714.0,233517.67272727273
0,1732.0,263920.5740740741
0,1739.0,210697.6222222222
0,1749.0,243611.00684931508
0,1768.0,200353.07142857142
0,1777.0,224937.32432432432
0,1811.0,268726.2156862745
0,1830.0,262120.85714285713
0,1872.0,246910.73214285713
0,2006.0,196933.35135135136
0,2457.0,226014.7808219178
0,2712.0,201214.08571428573
0,2831.0,208210.42222222223
0,3264.0,213996.6595744681
1,0.0,262500.0
1,14.0,349669.25
1,104.0,261980.0
1,117.0,280155.5
1,134.0,275771.5
1,239.0,299606.75
1,280.0,256368.5
1,291.0,279187.0
1,355.0,285296.25
1,357.0,292721.0
1,388.0,319028.3333333333
1,424.0,245458.75
1,470.0,306993.75
1,477.0,419988.75
1,478.0,256924.5
1,482.0,422401.3333333333
1,531.0,270482.25
1,550.0,333643.75
1,589.0,259635.25
1,639.0,292291.0
1,657.0,232149.25
1,701.0,358017.5
1,776.0,280196.5
1,813.0,250922.25
1,820.0,250480.75
1,827.0,337311.0
1,838.0,281666.875
1,877.0,404772.0
1,978.0,265583.5
1,987.0,350735.25
1,1006.0,221037.0
1,1213.0,309657.25
1,1228.0,259654.25
1,1254.0,428791.5
1,1280.0,262751.0
1,1348.0,340244.0
1,1382.0,388042.6666666667
1,1451.0,365715.0
1,1489.0,378043.0
1,1500.0,426778.0
1,1501.0,263049.0
1,1551.0,226693.875
1,1554.0,394646.75
1,1566.0,274584.0
1,1573.0,242171.75
1,1574.0,241566.75
1,1585.0,309091.0
1,1588.0,309441.75
1,1693.0,313371.75
1,1695.0,316716.0
1,1704.0,334876.25
1,1714.0,284846.25
1,1732.0,297866.0
1,1739.0,279294.5
1,1749.0,320706.5833333333
1,1768.0,228608.75
1,1777.0,258847.5
1,1811.0,320810.5
1,1830.0,274851.25
1,1872.0,293605.75
1,2006.0,247567.25
1,2457.0,243897.25
1,2712.0,219001.5
1,2831.0,213487.25
1,3264.0,264011.5
